targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
1,1,16,0,4.96808,31.9835
2,0,39,1,5.59349,40.5899
2,0,39,1,5.96417,50.0943
1,0,39,0,4.94313,37.4207
2,0,39,1,5.34169,41.2036
1,1,16,0,4.29196,29.4396
3,0,39,1,4.41339,26.8053
0,0,39,0,5.66695,52.8394
0,1,27,0,5.79754,51.7773
0,1,16,0,6.12602,50.0246
1,0,39,0,5.14275,38.3248
0,0,39,0,6.1049,54.345
1,1,20,0,5.66861,46.0842
0,1,8,0,5.82398,48.3994
2,0,39,1,5.03164,41.5621
2,0,39,1,4.42866,28.1464
2,0,39,1,52.4326,92544.1
0,0,39,0,5.63271,45.2828
2,0,39,1,5.91968,47.9669
1,0,39,0,5.64979,48.116
0,1,8,0,4.87822,29.1788
1,0,39,0,4.86544,41.3269
3,0,39,1,6.40789,59.0707
1,1,8,0,5.95652,55.2408
0,0,39,0,6.64729,63.4711
1,0,39,0,5.1387,38.6393
1,0,39,0,7.46544,89.8858
2,1,20,0,6.59285,65.3864
3,0,39,1,5.2104,42.0725
0,0,39,0,6.40882,67.7548
2,0,39,1,6.59566,63.4229
1,0,39,0,5.33306,45.9221
1,0,39,0,5.71816,40.6848
0,1,8,0,5.81921,48.8526
2,0,39,1,5.75746,48.8389
2,0,39,1,6.97324,77.054
1,0,39,0,6.51452,70.0624
1,1,8,0,7.4657,74.0132
1,0,39,0,5.35055,41.5496
0,0,39,0,5.50902,47.1771
1,1,27,0,5.09335,46.6886
0,0,39,0,5.317,37.0431
0,1,27,0,7.03639,75.0495
2,1,20,0,7.40163,90.4296
1,0,39,0,7.01506,76.1643
0,0,39,0,6.39557,56.6079
0,0,39,0,7.11449,73.5849
2,0,39,1,6.2402,58.8037
1,1,8,0,3.5889,17.1172
1,0,39,0,5.15453,39.4579
0,0,39,0,6.19613,53.1426
2,0,39,1,5.71911,50.2134
2,1,27,0,5.40642,39.1635
1,0,39,0,8.08363,86.7525
0,1,8,0,7.00648,63.82
0,1,27,0,7.40555,90.1225
2,0,39,1,6.53855,69.5815
0,1,16,0,8.16107,95.4358
2,0,39,1,5.10528,42.6522
0,1,16,0,3.70669,19.2468
2,0,39,1,4.73285,34.5956
4,0,39,1,4.73608,34.73
0,1,27,0,5.2527,39.7088
0,1,27,0,5.18763,41.3891
3,1,20,0,6.14023,63.1945
2,0,39,1,5.8518,54.3033
1,0,39,0,5.9032,50.7164
3,0,39,1,6.153,62.9678
1,1,22,0,6.2413,54.2499
1,0,39,0,5.41994,43.9123
1,1,20,0,7.0479,65.2413
0,0,39,0,5.45726,43.2975
2,0,39,1,6.44433,59.6619
1,0,39,0,5.14542,36.3985
2,0,39,1,6.01082,64.8781
1,0,39,0,6.30385,61.1173
0,0,39,0,5.69532,49.9239
1,1,8,0,7.57882,86.8039
0,1,22,0,6.25654,59.9102
3,0,39,1,6.03769,53.359
1,0,39,0,6.05037,49.1587
2,0,39,1,4.69412,29.2772
2,0,39,1,5.25119,38.4062
2,1,22,0,5.82593,57.7794
0,1,27,0,6.98442,73.0791
1,0,39,0,6.57253,57.8231
1,1,22,0,84.1938,138757
1,0,39,0,8.84472,97.3468
0,0,39,0,6.24125,62.0564
1,0,39,0,5.65425,42.4622
0,0,39,0,5.91918,53.1052
1,0,39,0,6.96535,71.6822
0,0,39,0,7.48519,82.4915
1,0,39,0,6.04087,60.2356
2,0,39,1,6.55777,61.0782
2,0,39,1,6.31323,57.223
1,0,39,0,6.20247,57.3043
2,0,39,1,5.93423,49.4625
